"name","height","position","legendaryBadgeCount","purpleBadgeCount","goldBadgeCount","silverBadgeCount","bronzeBadgeCount","outsideScoringBadgeCount","insideScoringBadgeCount","generalOffenseBadgeCount","playmakingBadgeCount","defensiveBadgeCount","reboundingBadgeCount","allAroundBadgeCount","badgeCount","team","overallAttribute","closeShot","midRangeShot","threePointShot","freeThrow","shotIQ","offensiveConsistency","layup","standingDunk","drivingDunk","postHook","postFade","postControl","drawFoul","hands","interiorDefense","perimeterDefense","steal","block","helpDefenseIQ","passPerception","defensiveConsistency","speed","agility","strength","vertical","stamina","hustle","overallDurability","passAccuracy","ballHandle","speedWithBall","passIQ","passVision","offensiveRebound","defensiveRebound"
"Caleb Houstan","6'8"" (203cm)","SG",0,0,0,0,3,0,0,0,0,3,0,0,3,"Atlanta Hawks",73,74,76,83,84,70,45,70,25,25,32,32,32,44,80,47,80,40,40,78,68,80,78,82,40,72,86,70,80,62,70,72,65,30,36,44
"Keaton Wallace","6'3"" (191cm)","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,"Atlanta Hawks",72,84,65,85,83,70,65,77,25,50,32,30,29,40,85,44,70,76,47,70,68,70,80,79,49,72,88,70,84,70,72,76,74,72,26,55
"RayJ Dennis","6'2"" (188cm)","PG",0,0,0,0,2,0,2,0,0,0,0,0,2,"Atlanta Hawks",71,72,74,75,73,70,55,73,25,55,33,34,33,47,84,44,67,68,35,62,55,45,79,80,42,75,85,80,80,75,74,79,75,73,32,44
"N’Faly Dante","6'11"" (211cm)","C",0,0,0,0,0,0,0,0,0,0,0,0,0,"Atlanta Hawks",68,65,36,25,61,50,30,66,80,80,55,52,55,40,78,70,48,37,69,70,60,50,73,48,70,70,70,95,80,25,32,57,40,31,67,69
"Nikola Djurisic","6'8"" (203cm)","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,"Atlanta Hawks",68,73,73,72,75,50,50,75,45,75,37,47,45,40,80,44,54,38,44,55,57,35,80,76,54,62,80,70,80,69,73,74,70,48,49,63
"Jaylen Brown","6'6"" (198cm)","SF",0,0,5,10,7,3,2,1,0,9,1,1,22,"Boston Celtics",95,96,97,81,78,95,98,94,40,94,67,69,80,85,95,70,89,46,52,86,87,85,79,88,69,84,95,95,82,78,86,76,84,72,45,67
"Jayson Tatum","6'8"" (203cm)","PF",0,0,9,10,9,4,8,1,0,7,0,1,28,"Boston Celtics",94,90,85,85,81,90,98,96,50,89,79,86,88,88,98,81,87,43,52,89,84,85,82,88,71,83,95,98,80,78,86,79,84,73,35,85
"Michael Porter Jr.","6'10"" (208cm)","SF",0,0,3,7,1,4,2,1,0,0,1,1,11,"Brooklyn Nets",87,90,77,87,83,80,95,92,60,80,50,62,68,55,80,60,64,41,40,60,68,40,80,81,68,88,88,80,66,65,78,77,62,69,47,83
"Derrick White","6'4"" (193cm)","SG",0,0,5,7,3,2,3,0,0,7,0,1,15,"Boston Celtics",85,83,97,80,87,75,70,87,40,55,35,51,35,70,90,58,91,59,82,92,78,95,88,93,46,75,85,95,81,88,86,87,82,70,37,53
"Payton Pritchard","6'1"" (185cm)","PG",0,0,4,2,4,5,4,0,0,0,0,0,10,"Boston Celtics",83,98,97,78,86,90,90,85,25,35,40,46,35,57,75,36,60,41,32,60,45,35,75,75,41,66,84,78,81,84,82,75,82,71,42,53
"Nic Claxton","6'11"" (211cm)","C",0,0,2,4,3,0,1,0,0,3,2,1,9,"Brooklyn Nets",82,87,69,64,67,75,55,67,80,75,72,64,72,55,80,84,79,41,78,85,64,85,69,77,71,79,90,89,80,40,49,44,48,71,70,77
"Cameron Thomas","6'3"" (191cm)","SG",0,0,5,3,2,4,3,1,0,0,0,0,10,"Brooklyn Nets",82,97,85,82,86,60,95,89,50,75,37,39,39,70,74,41,59,37,30,51,52,40,77,75,54,79,86,75,80,59,82,70,52,68,32,39
"Anfernee Simons","6'3"" (191cm)","PG",0,0,0,3,8,3,4,1,0,0,0,0,11,"Boston Celtics",80,97,76,82,90,70,75,89,40,89,49,49,49,69,95,49,59,38,37,50,55,40,86,89,41,90,92,90,80,75,86,79,79,55,35,46
"Neemias Queta","7'0"" (213cm)","C",0,0,0,4,3,0,0,1,0,1,2,1,7,"Boston Celtics",79,98,69,50,60,75,55,75,75,70,62,60,62,50,85,76,45,46,86,70,48,65,59,59,79,65,80,95,80,52,38,30,62,35,85,80
"Jordan Walsh","6'6"" (198cm)","PF",0,0,0,3,4,1,0,0,0,6,0,0,7,"Boston Celtics",78,67,67,86,83,75,60,68,40,80,57,54,57,52,85,78,82,79,67,82,85,80,77,81,63,86,89,90,80,63,68,68,62,32,67,71
"Luka Garza","6'10"" (208cm)","C",0,0,0,0,3,0,0,0,0,0,1,0,3,"Boston Celtics",77,97,74,82,79,70,85,74,60,45,79,79,79,59,85,54,30,40,70,52,56,30,40,40,69,48,80,85,80,55,35,34,55,37,95,54
"Noah Clowney","6'9"" (206cm)","PF",0,0,0,0,4,0,0,0,0,0,1,1,4,"Brooklyn Nets",77,88,69,76,80,80,80,72,80,80,60,59,60,65,85,68,57,41,67,67,66,55,64,64,64,75,90,85,80,57,59,57,68,39,43,57
"Egor Demin","6'9"" (206cm)","PG",0,0,0,5,3,0,6,0,0,0,0,0,8,"Brooklyn Nets",77,92,64,81,89,70,75,85,45,65,52,51,55,57,90,47,65,53,51,60,67,60,70,75,60,74,88,90,80,84,86,70,85,70,35,61
"Day’Ron Sharpe","6'9"" (206cm)","C",0,0,1,2,4,0,0,1,0,1,2,1,7,"Brooklyn Nets",77,91,74,65,65,75,65,73,75,70,48,35,48,44,70,69,60,90,66,69,55,60,61,61,79,73,80,90,80,62,58,38,66,71,86,87
"Sam Hauser","6'7"" (201cm)","PF",0,0,0,2,2,3,0,1,0,0,0,0,4,"Boston Celtics",76,89,75,82,89,85,70,60,40,60,44,45,45,55,95,48,55,40,55,52,44,45,61,62,66,62,85,88,80,50,43,55,60,33,41,62
"Ziaire Williams","6'9"" (206cm)","SF",0,0,0,0,2,0,0,0,0,0,0,1,2,"Brooklyn Nets",76,88,68,74,87,65,50,75,65,80,48,44,58,50,75,60,73,73,62,70,74,70,87,87,40,82,90,80,80,50,79,82,54,29,40,49
"Josh Minott","6'8"" (203cm)","PF",0,0,0,0,4,0,0,0,0,3,1,0,4,"Boston Celtics",75,69,85,85,77,70,55,75,65,80,51,55,52,59,85,59,67,63,63,67,79,65,72,76,62,80,90,85,80,62,63,68,60,37,67,68
"Hugo Gonzalez","6'6"" (198cm)","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,"Boston Celtics",75,82,76,82,76,75,65,74,45,75,47,48,42,40,70,53,73,80,56,74,70,65,75,75,55,75,88,90,80,62,70,70,62,30,56,69
"Terance Mann","6'5"" (196cm)","SG",0,0,0,2,1,1,0,1,0,1,0,0,3,"Brooklyn Nets",75,84,68,75,88,75,60,83,45,75,47,50,50,49,75,54,66,42,50,62,59,50,71,73,50,79,85,90,80,79,79,70,83,70,55,48
"Danny Wolf","7'0"" (213cm)","PF",0,0,0,0,2,1,1,0,0,0,0,0,2,"Brooklyn Nets",75,67,76,78,85,75,65,74,70,70,69,69,67,68,95,58,55,41,42,52,50,45,47,52,60,57,90,85,80,69,69,47,75,60,47,73
"Chris Boucher","6'9"" (206cm)","C",0,0,0,3,3,0,0,0,0,1,2,1,6,"Boston Celtics",73,90,81,79,78,60,30,74,85,80,72,64,72,50,85,76,37,43,72,78,50,60,57,55,80,74,89,80,77,33,41,25,59,30,67,76
"Baylor Scheierman","6'6"" (198cm)","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,"Boston Celtics",73,73,80,85,85,80,65,71,40,55,30,48,40,44,66,47,56,53,40,57,47,40,86,64,54,54,90,85,80,70,71,75,69,33,41,56
"Haywood Highsmith","6'5"" (196cm)","SF",0,0,0,3,4,1,0,0,0,5,0,1,7,"Brooklyn Nets",73,86,70,81,75,70,50,78,35,45,47,54,46,40,70,70,79,59,61,78,77,70,70,81,50,79,80,65,86,55,70,64,55,35,45,52
"Tyrese Martin","6'6"" (198cm)","SG",0,0,0,2,2,1,2,1,0,0,0,0,4,"Brooklyn Nets",73,63,79,75,71,80,70,70,40,60,56,60,59,59,69,54,66,53,40,60,40,55,70,72,59,70,85,65,80,75,77,63,75,66,51,57
"Jalen Wilson","6'6"" (198cm)","SF",0,0,0,1,0,0,0,0,0,0,0,0,1,"Brooklyn Nets",73,81,79,79,78,70,50,78,30,75,55,54,55,59,90,35,57,37,30,50,52,40,82,79,30,75,80,84,80,64,68,73,63,41,31,41
"Ben Saraf","6'5"" (196cm)","PG",0,0,0,0,1,0,1,0,0,0,0,0,1,"Brooklyn Nets",73,82,78,69,75,70,60,71,30,60,30,45,48,67,80,40,62,64,37,60,57,45,83,79,52,67,80,70,80,83,76,83,83,81,38,46
"Xavier Tillman Sr.","6'7"" (201cm)","C",0,0,0,0,2,0,0,0,0,0,1,1,2,"Boston Celtics",72,86,68,62,45,60,45,73,75,65,70,70,70,46,95,74,66,49,57,75,74,65,46,67,72,69,82,85,80,62,61,37,68,29,51,72
"Drake Powell","6'6"" (198cm)","SG",0,0,0,0,2,1,0,0,0,0,0,1,2,"Brooklyn Nets",72,95,71,80,90,50,40,74,45,85,44,44,44,50,80,54,75,53,45,70,70,65,86,87,54,95,85,90,80,69,70,75,69,56,30,47
"E.J. Liddell","6'6"" (198cm)","PF",0,0,0,0,2,0,0,0,0,1,0,1,2,"Brooklyn Nets",70,80,79,76,76,40,45,75,55,60,66,71,68,37,85,65,54,44,79,62,54,50,73,73,65,89,80,65,80,59,60,59,58,49,59,66
"Tyson Etienne","6'2"" (188cm)","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,"Brooklyn Nets",70,74,76,78,79,75,65,74,25,60,27,34,32,50,69,30,64,44,30,62,60,45,83,79,44,72,85,75,80,75,81,83,70,52,33,49
"Nolan Traore","6'4"" (193cm)","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,"Brooklyn Nets",70,78,69,72,71,50,50,76,30,70,42,44,69,55,81,44,60,43,58,57,60,40,85,85,56,74,92,75,80,78,86,85,78,70,27,43
"Amari Williams","6'10"" (208cm)","C",0,0,0,0,0,0,0,0,0,0,0,0,0,"Boston Celtics",69,67,60,55,62,50,40,67,75,80,62,50,60,54,70,70,60,47,68,72,50,55,66,68,69,75,85,85,80,66,64,62,69,56,60,60
"Chaney Johnson","6'7"" (201cm)","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,"Brooklyn Nets",69,74,67,74,71,30,25,75,65,85,48,48,47,37,70,69,73,70,70,66,65,60,79,79,60,85,80,90,80,57,65,69,55,34,70,65
"Ron Harper Jr.","6'4"" (193cm)","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,"Boston Celtics",68,70,72,76,79,60,50,72,40,70,44,45,30,47,85,42,60,43,47,60,52,55,69,69,47,70,80,75,80,58,72,63,55,33,34,46
"Max Shulga","6'4"" (193cm)","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,"Boston Celtics",68,74,77,80,78,50,50,74,30,45,30,44,48,55,80,42,60,75,28,57,54,50,75,72,52,67,80,60,80,75,75,74,75,54,41,47
"Donovan Mitchell","6'3"" (191cm)","SG",0,0,9,5,5,5,7,1,0,0,0,1,19,"Cleveland Cavaliers",95,98,97,82,84,90,98,95,50,92,37,49,44,90,98,68,75,63,45,79,79,75,95,90,60,97,96,95,80,84,90,86,84,73,38,56
"Evan Mobley","6'11"" (211cm)","PF",0,2,4,9,8,1,3,1,0,6,2,1,23,"Cleveland Cavaliers",87,70,55,76,64,70,60,78,85,85,83,83,83,67,85,96,82,41,85,95,85,95,72,79,74,81,90,90,80,69,60,66,74,66,65,79
"LaMelo Ball","6'7"" (201cm)","PG",0,0,3,6,6,4,8,0,0,0,0,0,15,"Charlotte Hornets",86,83,76,80,87,75,80,84,45,75,52,58,52,70,98,45,70,63,45,79,89,75,84,84,50,79,93,89,82,93,88,84,93,95,42,68
"Kon Knueppel","6'7"" (201cm)","SF",0,0,4,3,4,4,2,1,0,2,0,0,11,"Charlotte Hornets",85,97,84,92,89,75,90,84,40,55,40,40,40,44,90,48,70,36,37,67,67,65,65,70,62,78,89,70,80,75,76,64,75,63,41,61
"Josh Giddey","6'8"" (203cm)","PG",0,0,8,2,3,0,8,0,0,0,2,0,13,"Chicago Bulls",85,87,42,82,76,90,90,94,45,65,55,58,55,89,90,50,62,41,50,57,54,45,79,79,60,74,88,90,80,90,86,79,92,86,44,85
"Brandon Miller","6'7"" (201cm)","SG",0,0,1,5,6,3,5,1,0,0,0,1,12,"Charlotte Hornets",84,80,78,80,83,90,90,80,55,87,40,64,47,53,80,50,73,42,70,67,68,65,78,82,51,85,95,80,80,75,86,78,75,66,46,52
"Jarrett Allen","6'9"" (206cm)","C",0,0,1,7,5,0,0,1,0,3,2,1,13,"Cleveland Cavaliers",84,87,90,63,77,90,70,80,90,85,83,63,84,60,95,88,72,53,67,88,67,85,75,72,84,79,90,90,82,25,35,35,48,44,65,85
"Nikola Vucevic","6'10"" (208cm)","C",0,0,0,8,2,1,1,1,0,0,2,0,10,"Chicago Bulls",83,97,94,82,78,80,85,70,75,65,88,84,87,50,80,68,41,38,52,67,57,45,62,49,87,45,88,70,77,77,35,32,76,65,60,84
"Darius Garland","6'1"" (185cm)","PG",0,0,5,7,3,5,7,0,0,0,0,0,15,"Cleveland Cavaliers",83,84,90,85,90,75,80,84,25,40,32,37,42,50,85,31,71,38,32,69,66,50,88,88,40,84,95,90,80,85,89,88,85,77,34,43
"Miles Bridges","6'7"" (201cm)","PF",0,0,4,5,1,0,1,1,0,0,0,1,10,"Charlotte Hornets",82,83,67,76,84,98,95,86,60,88,84,84,84,89,95,60,59,35,55,62,68,45,75,76,84,85,93,80,85,69,76,71,74,65,40,71
"Coby White","6'5"" (196cm)","SG",0,0,1,11,3,4,8,1,0,0,0,0,15,"Chicago Bulls",82,80,75,75,80,80,80,90,30,65,34,45,49,84,95,49,64,38,25,66,64,55,85,85,56,81,90,85,80,79,87,84,84,72,31,51
"Matas Buzelis","6'10"" (208cm)","PF",0,0,0,5,3,1,1,0,0,1,0,1,8,"Chicago Bulls",81,88,75,77,77,85,85,85,65,89,62,58,60,59,90,58,62,42,81,65,62,50,86,70,60,84,90,85,80,65,72,76,69,36,47,65
"Collin Sexton","6'3"" (191cm)","PG",0,0,0,5,8,4,5,0,0,0,0,1,13,"Charlotte Hornets",80,83,80,86,87,80,80,80,30,75,25,38,28,50,75,45,67,46,42,60,60,50,88,88,48,84,95,80,81,75,86,87,74,74,36,43
"Ryan Kalkbrenner","7'1"" (216cm)","C",0,0,0,4,3,0,0,0,0,2,2,0,7,"Charlotte Hornets",79,97,74,73,72,85,70,60,80,75,71,60,70,67,85,78,30,41,89,78,54,75,44,35,67,74,85,85,80,50,37,30,50,27,79,68
"Tre Jones","6'1"" (185cm)","PG",0,0,2,2,2,1,4,0,0,0,0,0,6,"Chicago Bulls",79,82,85,70,84,80,75,86,25,35,32,34,30,62,80,34,73,73,42,70,67,60,80,80,60,71,85,75,81,83,84,80,83,73,37,45
"Ayo Dosunmu","6'5"" (196cm)","SG",0,0,0,1,4,2,2,0,0,0,0,0,5,"Chicago Bulls",79,82,91,85,86,75,75,87,25,75,35,50,42,59,80,38,69,38,42,68,69,65,76,78,52,75,85,75,80,72,79,73,79,67,36,46
"Jaylon Tyson","6'6"" (198cm)","SF",0,0,0,2,5,1,1,1,0,1,1,1,7,"Cleveland Cavaliers",79,94,78,86,74,70,75,79,40,75,40,57,52,69,90,50,70,53,60,70,67,60,80,76,63,75,85,93,80,62,75,77,69,39,65,60
"De’Andre Hunter","6'8"" (203cm)","SF",0,0,0,3,6,2,1,0,0,4,0,1,9,"Cleveland Cavaliers",79,94,90,74,87,60,70,79,65,70,51,52,51,60,85,63,82,40,37,80,60,80,76,83,65,75,88,80,80,67,70,69,64,41,37,62
"Moussa Diabate","6'9"" (206cm)","C",0,0,3,4,0,0,0,1,0,1,2,1,7,"Charlotte Hornets",78,85,72,67,67,60,50,68,65,80,67,57,67,57,65,65,41,49,73,65,50,55,73,73,60,78,80,95,80,42,40,66,52,34,95,79
"Zach Collins","6'11"" (211cm)","C",0,0,0,2,4,0,0,1,0,0,0,0,6,"Chicago Bulls",77,89,79,80,70,70,50,70,70,65,84,78,83,50,75,68,45,31,58,67,65,40,66,65,60,79,75,75,80,30,40,38,30,44,68,82
"Isaac Okoro","6'5"" (196cm)","SF",0,0,0,2,3,0,0,0,0,4,0,1,5,"Chicago Bulls",77,66,60,78,76,75,45,80,45,75,47,49,47,54,80,68,84,38,57,80,82,80,77,85,67,80,89,90,82,65,71,73,67,34,50,40
"Jalen Smith","6'9"" (206cm)","C",0,0,0,2,3,0,0,0,0,0,2,1,5,"Chicago Bulls",77,78,72,80,78,65,65,69,85,80,72,71,71,47,80,70,48,37,80,73,44,45,69,68,65,86,82,70,80,29,38,49,40,41,81,86
"Kevin Huerter","6'7"" (201cm)","SF",0,0,0,5,2,4,0,1,0,0,0,0,7,"Chicago Bulls",77,95,79,77,75,55,65,85,30,65,25,58,35,50,90,44,64,43,62,58,57,50,84,73,50,75,85,80,83,74,79,72,76,55,36,62
"Max Strus","6'5"" (196cm)","SF",0,0,1,4,0,4,0,1,0,0,0,0,5,"Cleveland Cavaliers",77,86,85,83,88,70,50,74,35,65,48,47,47,42,85,45,66,37,42,60,57,50,76,76,40,74,95,70,85,72,69,74,70,61,49,59
"Sam Merrill","6'4"" (193cm)","SG",0,0,1,1,2,4,0,0,0,0,0,0,4,"Cleveland Cavaliers",77,78,78,88,87,85,85,64,30,45,30,44,48,55,80,42,68,40,40,62,62,55,62,68,52,60,80,60,79,74,76,60,79,51,38,41
"Mason Plumlee","6'10"" (208cm)","C",0,0,0,0,6,0,1,1,0,0,2,1,6,"Charlotte Hornets",76,85,60,58,65,70,55,81,85,80,75,70,70,40,81,74,46,40,75,72,68,60,57,48,80,75,78,92,83,75,37,50,72,66,71,89
"Sion James","6'6"" (198cm)","SG",0,0,0,4,4,1,3,1,0,2,0,0,8,"Charlotte Hornets",76,79,70,80,86,75,65,79,55,70,58,58,59,47,75,69,72,40,53,70,68,65,93,85,82,81,80,80,80,69,69,78,69,36,36,56
"Tidjane Salaun","6'8"" (203cm)","PF",0,0,0,1,0,1,0,0,0,0,0,0,1,"Charlotte Hornets",75,64,65,86,72,80,60,75,65,80,52,51,51,47,80,69,74,43,55,65,59,50,71,82,60,80,88,90,80,47,66,66,45,34,48,82
"Thomas Bryant","6'10"" (208cm)","C",0,0,1,1,6,0,0,1,0,0,2,0,8,"Cleveland Cavaliers",75,95,85,75,83,55,45,70,75,65,73,73,73,37,78,63,40,40,76,79,50,45,62,57,80,52,88,95,82,40,53,53,42,32,67,80
"Nae’Qwan Tomlin","6'9"" (206cm)","PF",0,0,0,1,5,0,0,0,0,1,1,1,6,"Cleveland Cavaliers",75,73,72,70,71,60,65,79,60,80,57,62,57,55,80,64,70,66,82,67,62,60,75,70,62,80,80,80,80,67,72,65,70,30,78,55
"Craig Porter Jr.","6'1"" (185cm)","PG",0,0,0,0,2,0,0,0,0,2,0,0,2,"Cleveland Cavaliers",75,85,84,84,69,75,60,79,30,50,44,48,49,60,85,44,73,90,72,60,84,65,79,79,48,72,88,90,80,75,73,79,75,69,68,56
"Dean Wade","6'9"" (206cm)","PF",0,0,0,0,3,1,0,1,0,1,0,0,3,"Cleveland Cavaliers",75,78,70,75,73,85,65,78,80,75,60,60,64,44,70,50,77,43,56,74,68,65,62,75,60,83,80,85,79,38,60,43,55,37,44,64
"Josh Green","6'5"" (196cm)","SF",0,0,0,0,4,1,0,1,0,2,0,0,4,"Charlotte Hornets",74,81,69,84,67,50,30,75,30,80,35,34,30,44,95,35,79,66,25,79,78,75,86,86,60,80,89,90,83,67,70,72,65,40,53,41
"Tre Mann","6'3"" (191cm)","SG",0,0,0,2,3,4,0,0,0,0,0,0,5,"Charlotte Hornets",74,63,82,75,84,70,75,87,25,60,35,55,60,45,85,49,62,41,40,60,59,40,74,74,53,68,88,75,80,77,83,73,75,70,48,56
"Jevon Carter","6'1"" (185cm)","PG",0,0,0,0,2,0,1,0,0,1,0,0,2,"Chicago Bulls",74,92,89,82,82,80,65,75,25,35,32,34,30,40,80,34,79,53,56,72,75,70,76,83,60,71,85,76,81,75,79,76,70,67,38,38
"Patrick Williams","6'7"" (201cm)","PF",0,0,1,1,2,3,0,1,0,0,0,0,4,"Chicago Bulls",74,49,73,83,66,60,55,68,60,65,44,42,40,45,80,70,76,59,53,80,65,65,70,74,64,77,88,75,81,60,70,64,62,35,45,55
"Lonzo Ball","6'6"" (198cm)","PG",0,0,2,3,7,0,6,0,0,6,0,0,12,"Cleveland Cavaliers",74,55,63,70,70,40,30,70,30,75,35,44,40,50,84,60,81,86,51,80,80,75,85,86,52,80,93,70,80,83,86,85,83,72,46,64
"Pat Connaughton","6'5"" (196cm)","SF",0,0,0,0,2,1,0,0,0,0,0,1,2,"Charlotte Hornets",73,80,69,77,72,70,35,78,30,86,35,34,30,66,90,35,73,32,57,70,71,65,77,78,45,95,80,80,83,69,78,65,78,49,45,63
"KJ Simpson","6'0"" (183cm)","PG",0,0,0,0,4,0,3,0,0,0,0,0,4,"Charlotte Hornets",73,76,53,74,81,75,65,78,25,50,28,40,37,50,80,42,64,86,25,59,59,40,76,83,52,82,85,80,80,78,87,76,78,71,38,57
"Grant Williams","6'6"" (198cm)","PF",0,0,0,3,3,1,1,0,0,1,1,1,6,"Charlotte Hornets",73,81,73,80,84,70,45,77,50,60,59,58,66,37,80,68,68,56,67,69,60,60,58,70,73,66,88,80,80,69,66,54,72,43,45,64
"Larry Nance Jr.","6'8"" (203cm)","C",0,0,0,4,0,0,0,0,0,0,0,1,4,"Cleveland Cavaliers",73,93,74,71,70,65,40,72,75,80,58,54,59,50,78,74,61,76,74,78,76,60,65,61,69,86,80,85,83,69,64,49,70,44,52,70
"PJ Hall","6'10"" (208cm)","C",0,0,0,0,0,0,0,0,0,0,0,0,0,"Charlotte Hornets",72,75,73,74,78,50,65,68,75,75,60,60,60,69,70,55,47,50,60,55,57,40,73,52,70,82,87,80,80,48,60,59,52,37,89,77
"Liam McNeeley","6'7"" (201cm)","SF",0,0,0,0,1,1,0,0,0,0,0,0,1,"Charlotte Hornets",72,56,70,82,84,60,60,67,40,60,38,39,39,58,85,51,62,47,37,58,57,40,81,73,54,72,84,80,80,68,69,70,68,51,42,66
"Dalen Terry","6'7"" (201cm)","SG",0,0,0,0,0,0,0,0,0,0,0,0,0,"Chicago Bulls",72,77,72,68,69,65,55,77,25,80,40,46,42,54,85,43,69,63,53,69,70,65,76,76,58,69,85,85,80,76,80,74,78,49,56,52
"Julian Phillips","6'8"" (203cm)","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,"Chicago Bulls",72,81,68,75,77,70,50,70,45,80,54,57,55,55,80,55,68,46,55,67,68,65,73,78,40,80,85,85,80,60,66,67,57,29,63,41
"Noa Essengue","6'9"" (206cm)","PF",0,0,0,0,1,0,0,0,0,0,0,0,1,"Chicago Bulls",72,71,70,70,70,60,50,72,50,80,60,60,60,76,90,60,68,60,45,60,68,45,85,82,55,82,80,80,80,60,69,72,60,39,55,54
"Tyrese Proctor","6'5"" (196cm)","SG",0,0,0,0,2,2,0,0,0,0,0,0,2,"Cleveland Cavaliers",72,74,87,75,83,50,70,77,35,65,49,49,52,37,90,42,60,48,27,54,57,45,82,81,51,77,85,85,80,79,80,82,77,54,32,45
"Antonio Reeves","6'5"" (196cm)","SG",0,0,0,0,1,1,0,0,0,0,0,0,1,"Charlotte Hornets",70,89,75,86,84,60,60,80,30,70,39,36,39,40,80,32,60,42,40,52,48,40,83,78,39,75,85,70,80,62,70,73,62,36,40,41
